dt;num;RSSI;Battery;Light;Water;Water2;Temp;Humidity;Pressure;Flags;
2024-09-27 14:24:40;4;-93;3,285;587;3272;0;26,9;49,4;988,869;0x00;
2024-09-27 14:35:47;5;-93;3,32;652;264;0;27,5;61,0;988,989;0x00;
2024-09-27 14:49:24;7;-101;3,316;604;3451;3;25,5;54,0;989,154;0x00;
2024-09-27 15:00:19;8;-101;3,294;648;4095;1;26,8;48,3;989,124;0x00;
2024-09-27 15:11:27;9;-101;3,324;664;3301;0;25,0;52,4;989,318;0x00;
2024-09-27 15:22:24;10;-101;3,324;669;373;1;24,7;53,4;989,334;0x00;
2024-09-27 15:33:23;11;-101;3,324;666;201;6;24,5;53,6;989,417;0x00;
2024-09-27 15:44:10;12;-101;3,324;671;88;20;24,3;53,8;989,473;0x00;
2024-09-27 15:55:17;13;-103;3,324;673;516;1;24,2;54,1;989,397;0x00;
2024-09-27 16:06:16;14;-99;3,325;679;226;16;24,1;53,9;989,306;0x00;
2024-09-27 16:17:06;15;-101;3,328;668;3397;4;24,1;53,4;989,262;0x00;
2024-09-27 16:28:04;16;-101;3,324;673;697;6;24,1;53,1;989,27;0x00;
2024-09-27 16:39:22;17;-103;3,327;671;748;0;24,1;52,9;989,583;0x00;
2024-09-27 16:50:20;18;-101;3,324;670;3563;0;24,0;52,9;989,615;0x00;
2024-09-27 17:01:29;19;-101;3,328;676;3466;2;23,9;53,0;989,73;0x00;
2024-09-27 17:12:26;20;-103;3,326;686;1740;1;23,9;52,9;989,737;0x00;
2024-09-27 17:23:23;21;-99;3,327;683;368;1;23,8;53,1;989,975;0x00;
2024-09-27 17:34:32;22;-103;3,328;679;3505;5;23,7;53,1;990,137;0x00;
2024-09-27 17:45:41;23;-101;3,328;675;2983;1;23,7;53,0;990,299;0x00;
2024-09-27 17:56:48;24;-101;3,327;676;1694;1;23,7;52,9;990,244;0x00;
2024-09-27 18:07:45;25;-99;3,328;667;3456;0;23,7;52,7;990,41;0x00;
2024-09-27 18:18:54;26;-101;3,324;688;49;0;23,7;52,6;990,66;0x00;
2024-09-27 18:30:01;27;-101;3,327;677;3361;1;23,6;52,5;990,735;0x00;
2024-09-27 18:41:09;28;-101;3,328;676;574;0;23,6;52,6;990,75;0x00;
2024-09-27 18:52:17;29;-101;3,326;678;4095;5;23,5;52,6;990,746;0x00;
2024-09-27 19:03:16;30;-99;3,326;677;325;13;23,5;52,6;990,73;0x00;
2024-09-27 19:14:03;31;-101;3,328;695;23;1;23,4;52,6;990,797;0x00;
2024-09-27 19:25:12;32;-101;3,328;676;4095;0;23,4;52,6;990,769;0x00;
2024-09-27 19:36:21;33;-101;3,327;680;3674;1;23,4;52,6;990,912;0x00;
2024-09-27 19:47:10;34;-101;3,327;675;1459;1;23,4;52,5;991,212;0x00;
2024-09-27 19:58:07;35;-101;3,328;678;3460;3;23,4;52,4;991,216;0x00;
2024-09-27 20:09:05;36;-101;3,326;687;180;22;23,3;52,4;991,287;0x00;
